FRN,ID471_Application_Number,BEN,Applicant_Name,TYPE_OF_CONNECTION,NUMBER_OF_LINES,DOWNLOAD_SPEED
2558690,936151,140050,WILL ROGERS LIBRARY,Fiber optic/OC-x,1,100
2558691,936152,16045402,LITTLETON PREPARATORY CHARTER SCHOOL,Fiber optic/OC-x,1,30
2558696,936154,57098,HOWARDSVILLE CHRISTIAN SCHOOL,T1/DS-1,3,1.50
2558699,936148,140483,WYLIE ISD,Fiber optic/OC-x,1,1000
2558701,936163,16034649,CITY OF ITHACA,Fiber optic/OC-x,1,6
2558702,936164,131384,VICKSBURG DISTRICT LIBRARY,Cable,1,35
2558710,936165,140828,SHELBYVILLE SCHOOL DISTRICT,Fiber optic/OC-x,1,50
2558719,936177,137852,EUREKA UNIFIED SCHOOL DIST 389,Non-Cellular Wireless (e.g.microwave),1,40
2558724,936186,139480,CABOT PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,1,2000
2558725,936130,142996,LITCHFIELD ELEM SCHOOL DIST 79,Fiber optic/OC-x,1,200
2558727,936160,125608,ROARING SPRING COMM LIBRARY,DSL,1,1
2558733,936131,140163,EASTERN OKLA DIST LIB SYSTEM,Fiber optic/OC-x,1,100
2558734,936168,139241,ST TAMMANY PARISH SCHOOL DIST,Fiber optic/OC-x,93,10000
2558735,936161,98927,LINDRITH AREA HERITAGE SCHOOL,Fiber optic/OC-x,1,6
2558738,936135,130586,CENTERVILLE-CENTER TWP LIBRARY,Cable,1,12
2558741,936179,142108,TORNILLO INDEP SCHOOL DISTRICT,T3/DS-3,2,45
2558747,936132,141059,GRANGER ISD,Fiber optic/OC-x,1,30
2558752,936130,142996,LITCHFIELD ELEM SCHOOL DIST 79,Fiber optic/OC-x,1,100
2558752,936130,142996,LITCHFIELD ELEM SCHOOL DIST 79,Fiber optic/OC-x,10,200
2558752,936130,142996,LITCHFIELD ELEM SCHOOL DIST 79,Fiber optic/OC-x,2,400
2558752,936130,142996,LITCHFIELD ELEM SCHOOL DIST 79,Fiber optic/OC-x,1,2000
2558760,936177,137852,EUREKA UNIFIED SCHOOL DIST 389,T1/DS-1,1,1.50
2558763,936178,145156,ADRIAN SCHOOL DISTRICT 61,Non-Cellular Wireless (e.g.microwave),1,100
2558765,936218,139480,CABOT PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2558769,936223,121531,SCHOOL ADMINISTRATIVE DISTRICT #30,DSL,1,768
2558777,936139,120506,NORWELL PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,2,50
2558777,936139,120506,NORWELL PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,2,80
2558777,936139,120506,NORWELL PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,2,100
2558780,936225,131099,CLARE-GLADWIN RESD,Fiber optic/OC-x,1,100
2558783,936253,16071028,SATSUMA CITY SCHOOL DISTRICT,Fiber optic/OC-x,1,10
2558800,936225,131099,CLARE-GLADWIN RESD,Fiber optic/OC-x,1,1
2558802,936220,16060738,BRIDGES SCHOOL,Fiber optic/OC-x,1,10
2558804,936205,147919,Lindsay Community Library,T1/DS-1,7,1.50
2558817,936139,120506,NORWELL PUBLIC SCHOOL DISTRICT,Cellular Wireless,15,1.50
2558819,936233,127081,YANCEY COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,9,1000
2558823,936210,142714,HOMEDALE JOINT SCHOOL DIST 370,Fiber optic/OC-x,2,1000
2558830,936237,124763,ALEXANDER CENTRAL SCH DISTRICT,Cellular Wireless,2,25
2558833,936187,141986,LUBBOCK ISD,Fiber optic/OC-x,1,400
2558842,936265,143197,KIRKLAND ELEM SCHOOL DIST 23,T1/DS-1,2,1.50
2558846,936310,5642,ST BRIDGET ELEMENTARY SCHOOL,DSL,1,5
2558858,936244,145157,AROCK SCHOOL DISTRICT 81,T1/DS-1,1,1.50
2558859,936254,142768,CONSOLIDATED FREE LIBRARY DIST,Non-Cellular Wireless (e.g.microwave),2,5
2558859,936254,142768,CONSOLIDATED FREE LIBRARY DIST,Non-Cellular Wireless (e.g.microwave),2,7
2558859,936254,142768,CONSOLIDATED FREE LIBRARY DIST,Non-Cellular Wireless (e.g.microwave),1,12
